Date,AAPL,K
01-Dec-18,157.07,56.45
01-Nov-18,177.2,62.46
01-Oct-18,217.17,64.26
01-Sep-18,223.99,68.72
01-Aug-18,225.08,69.9
01-Jul-18,188.16,69.16
01-Jun-18,183.04,68.03
01-May-18,184.07,62.18
01-Apr-18,162.78,56.88
01-Mar-18,165.26,62.28
01-Feb-18,174.74,63.42
01-Jan-18,164.25,65.25
01-Dec-17,166.01,65.12
01-Nov-17,167.98,62.03
01-Oct-17,165.23,59.42
01-Sep-17,150.65,59.26
01-Aug-17,159.68,61.69
01-Jul-17,144.81,64.09
01-Jun-17,140.23,65.46
01-May-17,148.13,67
01-Apr-17,139.29,66.44
01-Mar-17,139.3,67.94
01-Feb-17,132.26,68.83
01-Jan-17,117.16,67.57
01-Dec-16,111.82,68.5
01-Nov-16,106.16,66.44
01-Oct-16,109.06,69.32
01-Sep-16,108.59,71.48
01-Aug-16,101.36,75.38
01-Jul-16,99.56,75.84
01-Jun-16,91.33,74.87
01-May-16,94.83,67.74
01-Apr-16,89.01,69.96
01-Mar-16,103.5,69.73
01-Feb-16,91.32,66.97
01-Jan-16,91.93,66.45
01-Dec-15,99.41,65.39
01-Nov-15,111.25,61.77
01-Oct-15,112.38,63.34
01-Sep-15,103.73,59.78
01-Aug-15,105.72,59.09
01-Jul-15,113.56,59
01-Jun-15,117.43,55.9
01-May-15,121.46,55.53
01-Apr-15,116.68,56.03
01-Mar-15,116.01,57.9
01-Feb-15,119.29,56.61
01-Jan-15,108.8,57.58
01-Dec-14,102.5,57.45
01-Nov-14,109.97,57.73
01-Oct-14,99.86,55.73
01-Sep-14,93.16,53.68
01-Aug-14,94.31,56.19
01-Jul-14,87.96,51.74
01-Jun-14,85.5,56.82
01-May-14,79.96,59.25
01-Apr-14,74.54,57.41
01-Mar-14,67.8,53.46
01-Feb-14,63.71,51.74
01-Jan-14,60.6,49.43
01-Dec-13,67.92,52.06
01-Nov-13,64.58,51.31
01-Oct-13,60.71,53.52
01-Sep-13,55.37,49.69
01-Aug-13,53.99,50.98
01-Jul-13,50.15,55.62
01-Jun-13,43.94,53.94
01-May-13,47.54,51.75
01-Apr-13,46.81,54.24
01-Mar-13,46.79,53.73
01-Feb-13,44.77,50.09
01-Jan-13,46.2,48.43
01-Dec-12,53.97,46.24
01-Nov-12,57.47,45.55
01-Oct-12,58.46,42.97
01-Sep-12,65.51,42.43
01-Aug-12,63.37,41.24
01-Jul-12,58.18,38.84
01-Jun-12,55.63,40.17
01-May-12,55.03,39.38
01-Apr-12,55.63,40.83
01-Mar-12,57.11,43.3
01-Feb-12,51.67,41.92
01-Jan-12,43.48,39.66
01-Dec-11,38.58,40.5
01-Nov-11,36.41,39.02
01-Oct-11,38.56,43.03
01-Sep-11,36.32,42.22
01-Aug-11,36.66,42.77
01-Jul-11,37.2,43.92
01-Jun-11,31.98,43.56
01-May-11,33.13,44.56
01-Apr-11,33.35,44.77
01-Mar-11,33.2,42.2
01-Feb-11,33.65,41.55
01-Jan-11,32.32,39.02
01-Dec-10,30.73,39.63
01-Nov-10,29.64,37.88
01-Oct-10,28.67,38.67
01-Sep-10,27.03,38.87
01-Aug-10,23.16,37.92
01-Jul-10,24.51,38.2
01-Jun-10,23.96,38.4
01-May-10,24.47,40.5
01-Apr-10,24.87,41.64
01-Mar-10,22.39,40.5
01-Feb-10,19.49,39.24
01-Jan-10,18.3,40.95
01-Dec-09,20.07,40.03
01-Nov-09,19.04,39.29
01-Oct-09,17.96,38.51
01-Sep-09,17.66,36.78
01-Aug-09,16.02,34.9
01-Jul-09,15.56,35.21
01-Jun-09,13.57,34.52
01-May-09,12.94,31.8
01-Apr-09,11.99,30.97
01-Mar-09,10.01,26.94
01-Feb-09,8.51,28.37
01-Jan-09,8.59,31.85
